k_over_h,P
0.00025454327537607484,10.912631988799815
0.0002580878942270424,11.057652779643329
0.0002616818733401503,11.20457887846035
0.00026532590007716613,11.353434461212759
0.00026902067137165014,11.504243977738778
0.00027276689386224645,11.657032153599241
0.0002765652840278303,11.811823991886875
0.00028041656832453725,11.96864477499328
0.00028432148332470077,12.127520066333226
0.0002882807758577241,12.28847571202245
0.00029229520315291434,12.451537842506553
0.00029636553298430533,12.616732874137547
0.00030049254381749724,12.784087510696486
0.00030467702495854104,12.953628744856735
0.000308919776704896,13.12538385958717
0.00031322161049848984,13.299380429490789
0.00031758334908090977,13.475646322075551
0.00032200582665075484,13.654209698953611
0.0003264898890231798,13.835099016965529
0.00033103639379165986,14.018343029227896
0.00033564621049200923,14.203970786095825
0.0003403202207686823,14.392011636040921
